Protocol  Address          Age (min)  Hardware Addr   Type   Interface
Internet  10.10.20.2              -   0c98.a445.9402  ARPA   GigabitEthernet0/2
Internet  10.10.30.1             69   0c98.a4c6.8000  ARPA   Port-channel1
Internet  10.10.30.2              -   0c98.a445.8000  ARPA   Port-channel1
Internet  192.168.122.71          2   0200.4c4f.4f50  ARPA   Vlan1
Internet  192.168.122.91          9   0c98.a4f0.8500  ARPA   Vlan1
Internet  192.168.122.92          9   0c98.a4c6.8001  ARPA   Vlan1
Internet  192.168.122.93          -   0c98.a445.8001  ARPA   Vlan1
Internet  192.168.122.94          9   0c98.a4d5.8001  ARPA   Vlan1
Internet  192.168.122.95          9   0c98.a441.8001  ARPA   Vlan1
Internet  192.168.122.96          9   0c98.a479.8001  ARPA   Vlan1
