Protocol  Address          Age (min)  Hardware Addr   Type   Interface
Internet  10.10.10.1              -   0c98.a4f0.8501  ARPA   GigabitEthernet0/1
Internet  10.10.10.2              3   0c98.a4c6.ea01  ARPA   GigabitEthernet0/1
Internet  10.10.20.1              -   0c98.a4f0.8502  ARPA   GigabitEthernet0/2
Internet  10.10.20.2              3   0c98.a445.9402  ARPA   GigabitEthernet0/2
Internet  192.168.122.71          0   0200.4c4f.4f50  ARPA   GigabitEthernet0/0
Internet  192.168.122.91          -   0c98.a4f0.8500  ARPA   GigabitEthernet0/0
Internet  192.168.122.92        171   0c98.a4c6.8001  ARPA   GigabitEthernet0/0
Internet  192.168.122.93        171   0c98.a445.8001  ARPA   GigabitEthernet0/0
Internet  192.168.122.94        171   0c98.a4d5.8001  ARPA   GigabitEthernet0/0
Internet  192.168.122.95        171   0c98.a441.8001  ARPA   GigabitEthernet0/0
Internet  192.168.122.96        171   0c98.a479.8001  ARPA   GigabitEthernet0/0
